Date,Open,High,Low,Close,Adj Close,Volume
2022-08-03,620.000000,623.400024,600.500000,609.599976,608.798096,1876962
2022-08-04,610.450012,645.000000,610.450012,636.599976,635.762573,3809324
2022-08-05,636.599976,650.099976,628.500000,648.000000,647.147583,1838153
2022-08-08,645.000000,655.000000,642.650024,650.049988,649.194885,1277644
2022-08-10,650.500000,657.500000,640.349976,645.150024,644.301392,1506846
2022-08-11,649.599976,659.599976,642.000000,644.349976,643.502380,1369854
2022-08-12,648.000000,648.000000,628.099976,631.150024,630.319824,8516334
2022-08-16,633.000000,647.099976,633.000000,639.849976,639.008301,2194505
2022-08-17,647.000000,652.000000,637.500000,646.250000,645.399902,1883992
2022-08-18,643.000000,647.150024,639.250000,645.349976,644.501099,983261
2022-08-19,655.000000,656.000000,635.000000,638.950012,638.109558,2046529
2022-08-22,634.799988,644.000000,628.950012,636.900024,636.062256,1375779
2022-08-23,630.500000,652.950012,627.000000,646.450012,645.599670,2306745
2022-08-24,646.599976,659.000000,643.250000,651.650024,650.792847,2121635
2022-08-25,656.400024,668.000000,645.000000,648.500000,647.646973,3640290
2022-08-26,652.400024,658.799988,637.250000,641.400024,640.556335,1123235
2022-08-29,627.500000,638.299988,620.200012,633.750000,632.916382,2405127
2022-08-30,634.299988,644.700012,628.400024,633.900024,633.066162,4829944
2022-09-01,639.950012,654.299988,634.599976,648.000000,647.147583,2108773
2022-09-02,645.000000,655.700012,643.400024,645.200012,644.351318,1371229
2022-09-05,649.200012,658.650024,643.000000,651.950012,651.092407,1027756
2022-09-06,657.900024,657.900024,647.400024,650.099976,649.244812,1003879
2022-09-07,647.000000,650.099976,639.549988,640.900024,640.056946,862386
2022-09-08,644.150024,650.900024,644.099976,649.000000,648.146301,1210770
2022-09-09,657.000000,668.000000,648.500000,652.599976,651.741516,2401767
2022-09-12,654.700012,662.549988,652.250000,660.750000,659.880859,1050504
2022-09-13,662.799988,677.200012,662.299988,674.799988,673.912354,2035584
2022-09-14,669.799988,682.700012,665.000000,677.599976,676.708679,1474192
2022-09-15,681.000000,686.599976,674.799988,680.849976,679.954346,1273028
2022-09-16,679.000000,683.400024,653.250000,658.650024,657.783630,1257784
2022-09-19,658.650024,661.150024,644.099976,653.400024,652.540527,1103577
2022-09-20,659.000000,672.900024,655.099976,666.200012,665.323669,1037776
2022-09-21,670.099976,678.150024,663.500000,666.000000,665.123962,1549475
2022-09-22,663.700012,672.549988,659.250000,663.400024,662.527405,913273
2022-09-23,664.000000,669.599976,635.599976,637.849976,637.010925,1211636
2022-09-26,633.000000,635.000000,589.650024,597.150024,596.364502,2957525
2022-09-27,606.700012,610.049988,590.500000,606.599976,605.802063,1373046
2022-09-28,602.599976,604.000000,577.000000,582.250000,581.484070,1771176
2022-09-29,594.000000,608.150024,588.650024,600.400024,599.610229,2772572
2022-09-30,602.799988,624.900024,588.000000,619.200012,618.385498,2359873
2022-10-03,616.950012,619.200012,590.099976,594.400024,593.618164,2032188
2022-10-04,606.000000,615.650024,604.099976,607.750000,606.950562,1640822
2022-10-06,626.000000,638.750000,601.049988,605.049988,604.254089,3958623
2022-10-07,605.000000,605.049988,587.000000,591.049988,590.272522,2075229
2022-10-10,578.400024,592.150024,578.400024,587.349976,586.577393,1142078
2022-10-11,589.700012,590.299988,578.799988,582.799988,582.033386,2613081
2022-10-12,585.750000,591.000000,572.200012,588.450012,587.675964,1964964
2022-10-13,583.299988,586.900024,578.099976,581.599976,580.834900,2191049
2022-10-14,590.000000,606.000000,585.000000,601.400024,600.608948,3262434
2022-10-17,599.599976,618.000000,595.849976,615.750000,614.940063,1806133
2022-10-18,618.849976,628.750000,616.450012,625.599976,624.777039,1137553
2022-10-19,628.000000,632.000000,616.500000,625.950012,625.126648,1939613
2022-10-20,619.950012,619.950012,585.000000,592.349976,591.570801,5705861
2022-10-21,595.349976,607.000000,577.349976,579.349976,578.587891,3625697
2022-10-24,599.000000,599.000000,578.000000,580.700012,579.936157,515268
