Date,Open,High,Low,Close,Adj Close,Volume
2023-06-01,776.049988,781.950012,765.849976,769.500000,769.500000,18068
2023-06-02,772.049988,778.849976,769.049988,772.950012,772.950012,26783
2023-06-05,763.950012,771.650024,748.950012,750.500000,750.500000,60660
2023-06-06,753.000000,756.700012,740.049988,751.950012,751.950012,68042
2023-06-07,752.049988,767.099976,752.049988,762.700012,762.700012,65392
2023-06-08,767.000000,775.000000,752.400024,755.049988,755.049988,62103
2023-06-09,755.000000,763.950012,750.599976,762.450012,762.450012,39426
2023-06-12,764.000000,767.450012,750.400024,761.200012,761.200012,45674
2023-06-13,761.000000,766.799988,758.400024,763.400024,763.400024,31804
2023-06-14,767.349976,775.000000,764.400024,772.549988,772.549988,17463
2023-06-15,772.000000,779.200012,764.900024,775.849976,775.849976,32656
2023-06-16,776.000000,782.349976,773.299988,778.549988,778.549988,45816
2023-06-19,784.950012,784.950012,768.299988,772.750000,772.750000,7327
2023-06-20,768.000000,775.000000,764.000000,767.849976,767.849976,24998
2023-06-21,768.500000,773.200012,748.400024,749.500000,749.500000,33551
2023-06-22,749.549988,756.500000,732.900024,740.400024,740.400024,24457
2023-06-23,740.000000,745.000000,734.450012,737.500000,737.500000,11115
2023-06-26,735.049988,749.200012,733.250000,745.500000,745.500000,35562
2023-06-27,749.400024,755.000000,744.549988,749.900024,749.900024,21510
2023-06-28,744.049988,756.650024,742.599976,747.849976,747.849976,45481
2023-06-30,748.000000,759.750000,747.250000,754.099976,754.099976,34618
2023-07-07,789.950012,789.950012,758.000000,761.049988,761.049988,55362
2023-07-10,758.049988,769.200012,750.950012,763.650024,763.650024,21113
2023-07-14,770.950012,782.000000,760.000000,781.049988,781.049988,34808
2023-07-17,789.950012,789.950012,763.500000,767.599976,767.599976,30918
2023-07-19,765.099976,775.000000,761.599976,768.299988,768.299988,18526
2023-07-20,776.049988,776.400024,765.549988,772.250000,772.250000,14953
2023-07-21,772.000000,775.099976,761.650024,765.099976,765.099976,17617
2023-07-24,746.950012,746.950012,727.000000,739.450012,739.450012,70002
2023-07-26,739.150024,739.150024,730.400024,731.849976,731.849976,43252
2023-07-28,730.049988,734.599976,722.750000,724.750000,724.750000,20039
2023-08-03,728.750000,737.000000,719.099976,728.599976,728.599976,42544
2023-08-04,729.000000,742.500000,729.000000,738.599976,738.599976,66108
2023-08-07,729.950012,740.099976,723.250000,726.500000,726.500000,16838
2023-08-08,720.299988,730.000000,701.950012,720.549988,720.549988,102127
2023-08-09,722.000000,725.549988,712.250000,717.000000,717.000000,27005
2023-08-10,715.049988,717.150024,696.599976,701.549988,701.549988,41077
2023-08-11,698.049988,707.849976,697.000000,705.049988,705.049988,17103
